id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1222277561728607969,The very good location house,547749839,Yaren,,Dublin City,53.366122010774475,-6.221856600636131,Entire home/apt,100,1,1,2024-08-15,0.15,1,1,1,
1222530323132178091,"Spacious, modern home with cats",7424792,Aislinn,,Dn Laoghaire-Rathdown,53.28035,-6.25968,Entire home/apt,84,7,3,2024-10-25,0.57,1,18,3,
1222621716533069866,Lovely Two-Bed House in Swords,197314677,Vanessa,,Fingal,53.44402597476838,-6.23669390692009,Entire home/apt,,14,0,,,1,0,0,
1222961326171491534,Nice double bed for one person.,413309472,Müzeyyen,,Fingal,53.40241,-6.2379,Private room,105,1,1,2024-08-16,0.15,1,187,1,
1223002966771548616,Luxury in the Heart of Dublin!,596101882,Cillian,,Dublin City,53.33468500000001,-6.280376899999999,Private room,225,2,0,,,3,348,0,
1223119552263532039,Single Room,424973918,Maureen,,South Dublin,53.27938,-6.42389,Private room,70,1,0,,,1,365,0,
1223157090170062549,Luxury Dublin City Center Home,596101882,Cillian,,Dublin City,53.33468500000001,-6.280376899999999,Entire home/apt,,2,1,2024-08-26,0.15,3,320,1,
1223162925023616530,Cosy studio in Dublin15,596154434,Liliana,,Fingal,53.41978,-6.38904,Entire home/apt,,2,4,2024-11-21,0.69,1,0,4,
1223189532352076375,Double Room beside Malahide.,596160720,Ian,,Fingal,53.4165182,-6.154324799999999,Private room,110,2,6,2025-02-03,0.92,1,87,6,
1223324738273182045,Twin & Double Bed Phibsboro,69683252,Daniel And G,,Dublin City,53.35667968913019,-6.273914149134169,Entire home/apt,142,4,6,2025-02-12,1.11,101,329,6,
1223973909386684959,Sunny South Facing King Room,21779937,Christina,,Fingal,53.49378,-6.13732,Private room,,1,0,,,1,361,0,
1224463346004652874,Double+Single bed in Guest House,76619411,Hannah,,Dublin City,53.33870243561485,-6.30138773471117,Private room,80,2,29,2025-02-22,4.58,2,47,29,
1224540743375084743,Entire Home 10 min from Dublin Airport,170768395,James,,Fingal,53.4879489,-6.1478537,Entire home/apt,539,2,3,2024-12-22,0.93,1,257,3,
1224661642207481276,Townhouse in private setting.,593187116,Miriam Teresa,,Dn Laoghaire-Rathdown,53.30333839999999,-6.202323499999999,Entire home/apt,146,14,0,,,1,179,0,
1224677849511678914,Stylish Suburban Home,7334004,Aoife,,Dn Laoghaire-Rathdown,53.29206045677992,-6.273371009873963,Entire home/apt,198,2,13,2025-02-21,2.47,1,74,13,
1225278726446195822,Quiet 3 Bed By The Sea,24837873,Neil,,Dn Laoghaire-Rathdown,53.29875216207239,-6.167706361307297,Entire home/apt,233,6,0,,,1,31,0,
1225795899166762473,Beautiful Townhouse in Dublin 4,310738748,Sharon,,Dublin City,53.3360368,-6.2424297,Entire home/apt,231,3,2,2024-09-29,0.36,1,157,2,
1225919050942515366,Smithfield Area Car Park 2 Bedroom Apartment,596859506,Cecilia Ka Yuk,,Dublin City,53.34974,-6.2766,Entire home/apt,255,2,7,2024-11-17,1.19,4,178,7,
1225941785143937193,Heart of Dublin City (Jervis St),596859506,Cecilia Ka Yuk,,Dublin City,53.34756,-6.2668,Entire home/apt,249,2,11,2025-03-02,2.62,4,271,11,
1226019204168814050,Single room very nice location,596889317,Yağmur Kevser,,Dublin City,53.35538,-6.25339,Private room,101,1,0,,,1,2,0,
1226082564279785867,King Room 10 mins from Dublin Airport,357522356,Teniola,,Fingal,53.47547909999999,-6.2362917,Private room,86,1,7,2024-10-13,1.08,1,361,7,
1226101056803196238,Private and cosy room,521366502,Muhammet Furkan,,Dublin City,53.33757,-6.29935,Private room,102,1,0,,,1,187,0,
